,Parental_T47D_cells_treated_with_vehicle_rep_1,Parental_T47D_cells_treated_with_vehicle_rep_2,Parental_T47D_cells_treated_with_vehicle_rep_3,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_1,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_2,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_3
FBXW10B,1,0,5,1,0,1
FBXW11,1367,652,2314,2350,2171,2592
FBXW11P1,2,0,10,5,11,8
FBXW12,0,0,0,4,1,3
FBXW2,3318,1788,5807,3796,4029,5114
FBXW4,530,302,2386,422,1793,1904
FBXW4P1,2,0,0,2,4,6
FBXW5,33,9,648,20,357,382
FBXW7,217,106,426,570,471,576
FBXW7-AS1,0,0,0,0,0,0
FBXW8,546,338,957,645,930,913
FBXW9,8,5,139,5,73,67
FCAMR,0,0,0,0,0,0
FCAR,0,0,0,36,37,44
FCER1A,0,0,0,0,0,0
FCER1G,2,0,2,2,4,3
FCER2,0,0,0,0,2,0
FCF1,1744,1086,2829,3333,3273,3294
FCF1P10,0,0,0,0,0,0
FCF1P3,0,0,0,0,0,0
FCF1P4,0,0,0,0,0,0
FCF1P5,0,0,0,0,0,0
FCF1P9,0,0,0,0,0,0
FCGBP,0,0,1,1,0,0
FCGR1A,0,0,0,0,0,0
FCGR1CP,0,0,0,0,0,0
FCGR2A,0,0,1,2,2,5
FCGR2B,0,0,0,0,0,0
FCGR3A,0,0,0,0,0,0
FCGR3B,0,0,0,0,0,1
FCGRT,18,25,69,6,30,16
FCHO1,5,1,105,3,67,70
FCHO2,781,451,1139,1126,786,1040
FCHSD1,125,19,492,301,900,1033
FCHSD2,525,268,964,587,625,754
FCMR,5,13,20,1,2,0
FCN1,0,0,0,0,0,0
FCN2,0,0,5,32,48,81
FCN3,0,0,0,0,0,1
FCRL1,0,0,0,0,0,0
FCRL2,0,0,0,0,0,0
FCRL3,0,0,0,0,0,0
FCRL4,0,0,0,0,0,0
FCRL4P1,0,0,0,0,0,0
FCRL5,0,0,0,0,0,0
FCRL6,0,0,0,0,0,0
FCRLA,0,0,0,0,0,0
FCRLB,0,0,0,0,6,1
FCSK,78,22,252,141,485,567
FDCSP,0,0,0,0,0,0
FDFT1,1256,591,2941,4334,6668,7289
FDPS,958,604,2352,3619,6101,7026
FDPSP1,0,0,0,0,0,0
FDPSP3,2,0,2,0,0,0
FDPSP4,0,0,0,1,0,0
FDPSP5,0,0,0,2,0,0
FDPSP6,0,0,0,0,0,0
FDPSP7,0,0,0,0,0,0
FDPSP8,2,0,0,1,3,1
FDPSP9,0,0,0,0,0,0
FDX1,177,103,309,326,319,343
FDX2,1,0,1,1,2,1
FDXACB1,67,28,93,61,64,39
FDXR,63,31,241,145,486,451
FECH,637,315,1449,1041,1294,1557
FEM1A,237,144,1048,195,589,545
FEM1AP1,0,0,0,0,0,0
FEM1AP2,0,0,5,0,1,3
FEM1AP3,0,0,0,0,0,0
FEM1B,2557,1301,4171,3121,2369,2939
FEM1C,1307,732,1699,1117,1034,1346
FEN1,179,94,872,601,1444,1216
FENDRR,0,0,0,0,1,0
FER,638,399,779,1005,602,839
FER1L4,18,1,69,59,175,193
FER1L5,8,11,26,12,14,14
FER1L6,1,0,3,0,0,1
FER1L6-AS1,0,0,0,0,0,0
FER1L6-AS2,0,0,0,0,0,0
FERD3L,0,0,0,0,0,0
FERMT1,64,48,126,322,357,321
FERMT2,643,382,1035,1294,1147,1330
FERMT3,4,0,12,1,20,34
FERP1,0,0,0,0,0,0
